text,scenario,label
cancel my alarm for tomorrow morning,alarm,1
do not wake me up on weekends,alarm,1
can you play my music,play,48
play my music,play,48
play my latest playlist,play,48
i want to hear my playlist from that artist,play,48
what are my alarms,alarm,0
set to mute,audio,4
be mute,audio,4
set notification for news on the stock market,qa,55
turn on notification for all news on the stock market,qa,55
notify me of the latest news on the stock market,qa,55
open my music,play,48
play some jazz,play,48
play my downloaded music,play,48
adjust the volume,audio,5
today is what day,datetime,13
change the light to blue,iot,31
please change the house lights to blue,iot,31
switch the lights to blue,iot,31
what time is it in chicago,datetime,13
is it noon in paris,datetime,13
what day and time is it in manila,datetime,13
tell me what alarms are set for me,alarm,0
list all of my upcoming alarms,alarm,0
what is on my alarm schedule,alarm,0
play hula hoop next,play,48
play my favorite song after,play,48
put william its my birthday in next,play,48
can you play me some skramz,play,48
i would like to listen to some down tempo,play,48
i need something to listen to thats mellow in the alternative genre,play,48
play my country favourites playlist on shuffle,play,48
can you give me the time in this time zone,datetime,13
what's the time in this time zone,datetime,13
tell me the time in this time zone,datetime,13
what is the time in the GMT time zone,datetime,13
please tell me what alarms are on,alarm,0
what music is being played right now,music,43
what day of the week is june twenty seventh on this year,datetime,13
what day does my birthday fall on this year june twenty seventh,datetime,13
what day does june twenty seventh two thousand and seventeen fall on this year,datetime,13
what is my most played song,music,43
what time is it in los angeles,datetime,13
what time is the time in new york,datetime,13
what is it today,datetime,13
the date today please,datetime,13
what day today,datetime,13
shut the lights off in my bedroom please,iot,33
can you turn my bedroom lights off,iot,33
shut off the lights in the bedroom,iot,33
please turn the lights on,iot,34
please turn on the wemo plug socket,iot,37
can you turn on the wemo plug socket,iot,37
make the lights a different color,iot,31
change the lights to a different hue,iot,31
on april tenth please me know the status of my favorite website,datetime,13
on may thirteenth please run a credit check and email the results,datetime,13
hi how are you,general,23
what is the time in another city,datetime,13
what time is it in another city,datetime,13
what time is it in toronto,datetime,13
in another city what time is it,datetime,13
play what live,play,48
i want live music,play,48
change the light colour to blue,iot,31
make the lights pink,iot,31
can the lights be changed to green,iot,31
what's the song title,music,43
by hide,audio,4
not use,audio,4
play all music by billy joel,play,48
play billy joel,play,48
play uptown girl by billy joel,play,48
want to play rock,play,48
rock with rock star,play,48
please give me the date today,datetime,13
what time is it now in new york,datetime,13
how me the time now in boston,datetime,13
activate the wemo plug socket,iot,37
is my alarm set,alarm,0
will you turn off the lights please,iot,33
Shut down the sound,audio,4
cut off noise,audio,4
mute the volume,audio,4
how many fridays are there in may,datetime,13
what day of the week was february four nineteen seventy two,datetime,13
bed room two switch off the lights,iot,33
play music from playlist,play,48
find and play workout playlist,play,48
search and play workout playlist,play,48
get the workout playlist and play it,play,48
remove my six am alarm,alarm,1
remove my eight pm alarm and set it to seven pm,alarm,1
light settings,iot,31
display settings,iot,31
search to find current local time and time zone,datetime,13
what time is it in a city,datetime,13
would like to see the time zone,datetime,13
set notifications on the current weather disasters in america,calendar,9
did you meet her,general,27
tune in some music,play,48
put some music on,play,48
get with new one,general,27
how this song,music,43
do you know about this lyrics,music,43
who sung this,music,43
play songs by barenaked ladies,play,48
play new songs by barenaked ladies,play,48
play most popular songs by barenaked ladies,play,48
what is the date and month today,datetime,13
workout playlist,play,48
play latest songs for me from the net,play,48
play blackeyed pees song,play,48
play bluegrass music,play,48
play the most popular bluegrass music,play,48
let me hear some bluegrass music,play,48
turn off my first alarm,alarm,1
take away my alarm for tomorrow at four thirty am,alarm,1
turn off all alarms,alarm,1
what will the date be next wednesday,datetime,13
what is today's day,datetime,13
what day is the fifteenth,datetime,13
what year was this song recorded,music,43
play my mash up,play,48
play frozen let it go,play,48
play my soundtrack,play,48
what day is christmas,datetime,13
who is this artist,music,43
tell artist and title of this song,music,43
pull up my party playlist,play,48
go to my classical playlist,play,48
i want to hear my rap playlist,play,48
switch the lights to off,iot,33
send me the stock market updates for today,qa,55
vacuum living room,iot,29
start the robotic vacuum,iot,29
i do not enjoy this song,music,41
what is date today,datetime,13
i'd like to know what time it is right now,datetime,13
your scenarios on your pc and transfer them back to the via the hot,iot,31
want to make the game,iot,31
would you love to see,iot,31
where does the twenty second fall this month,datetime,13
what day of the week is the twenty third of this month,datetime,13
play third day,play,48
play all third day,play,48
music third day,play,48
change the light colors,iot,31
i want to change the light colors,iot,31
give me a new light color,iot,31
please switch on my wemo plug socket,iot,37
remove my work alarm,alarm,1
remove my bedtime alarm,alarm,1
remove finlee's bedtime alarm,alarm,1
what song is playing now,music,43
tell me the song that is currently playing,music,43
which song is currently playing,music,43
play I can't feel my face,play,48
play you are my sunshine,play,48
play the barney theme song,play,48
play children's music,play,48
what day of the week is the twenty fifth,datetime,13
what day of the week is the twenty seventh,datetime,13
what day of the week is it,datetime,13
please tell me the date,datetime,13
what playlist is on shuffle,music,43
what genre is this song in,music,43
play busdriver,play,48
play underground rap,play,48
please mute my speaker,audio,4
can you mute my speaker,audio,4
help me to mute my speaker,audio,4
after this song please play this song,play,48
how long is this song,music,43
play true love next,play,48
queue true love,play,48
what time is it in pacific time,datetime,13
what is the time for the eastern time zone,datetime,13
what times are my alarms set for,alarm,0
what days are my alarms set for,alarm,0
play my recently downloaded songs,play,48
open my amazon music app and play my playlist,play,48
play my itunes music,play,48
jazz could be choice for me,play,48
make the room blue,iot,31
please make the lights natural,iot,31
when is the next friday the thirteenth,datetime,13
is the twenty third of april a saturday,datetime,13
what is the week today,datetime,13
on mobile charger plug,iot,37
on all the button on dashboard,iot,37
who sing we are the world,music,43
when did pop it like it's hot come out,music,43
what song in the theme song for frasier,music,43
run music from this playlist,play,48
please play me something from the foo fighters,play,48
please play me songs from the eighties,play,48
please play me some madonna from the eighties,play,48
replace color from light to dark,iot,31
turn wemo on,iot,37
make the wemo go on,iot,37
is it five yet,datetime,13
play something by norah jones,play,48
play what i am by edie brickel,play,48
play some soft jazz,play,48
recommend artists similar to rihanna,music,43
what song do i play most,music,43
olly play shake it off,play,48
give me the current date,datetime,13
the time,datetime,13
it's dark in here,iot,34
turn corner light on,iot,34
turn all lights on,iot,34
olly cancel alarms,alarm,1
olly cancel yoga alarms,alarm,1
olly cancel all soccer practice alarms,alarm,1
olly what time is it in san diego,datetime,13
olly what time is it in denver,datetime,13
olly what time is it in las vegas,datetime,13
play thinking out loud next,play,48
play thinking out loud now,play,48
start playing thinking out loud now,play,48
play a rap song,play,48
is there any alarm after five am,alarm,0
remove alarm if any,alarm,1
i dont want any alarms,alarm,1
nobody knows by pink,play,48
nobody knows,play,48
check if any alarm is there after five am,alarm,0
remove all alarms if any,alarm,1
check if default alarm is set,alarm,0
play songs from favorite,play,48
play playlist one,play,48
play recently added songs,play,48
please tell me what is the time in sanfranscio,datetime,13
please tell me what is the time in tokyo japan,datetime,13
could you please tell me what time is in singapore,datetime,13
play itzhak perlman,play,48
find songs from my big band playlist,play,48
search for information on internet,datetime,13
check for the availability of shops nearby,iot,33
check for the color requirement,iot,31
check for the quality of the colors,iot,31
silent mode on for the next three hours,audio,4
quiet on,audio,4
it's too bright in here can you turn a light off,iot,33
please play the latest song from the album abbas,play,48
could you please play the song from the artist madonna,play,48
could you please play the song of michael jackson,play,48
please give me today's date,datetime,13
please play this song again,play,48
what time is it in new york city right now,datetime,13
look up the current time in new york city,datetime,13
i need to know what time it is right now in new york city,datetime,13
can you please off the light,iot,33
kindly switch off the light in the drawing hall,iot,33
play surfin usa,play,48
turn on surfin usa,play,48
i want to hear surfin usa,play,48
Fix the light which has one hundred and fifty watts,iot,31
replace the old light with new powerful light,iot,31
purchase a new bulb with more brightness,iot,31
what alarms do i have set for today,alarm,0
i want to listen to classical music,play,48
play a jazz music,play,48
i like to listen to hindustani music,play,48
turn the vibrate off from speaker,audio,4
what day of the week does the twenty fifth july fall on,datetime,13
what is the date next wednesday,datetime,13
what's next song on my playlist,music,43
open media player and play my gym playlist,play,48
put the gym playlist next in queue,play,48
did you set the alarm for five am,alarm,0
did you set the phone on flight mode,general,27
did you change the wallpaper,general,27
please turn the lights off in the bathroom,iot,33
turn lights off in bedroom,iot,33
turn lights off in kitchen,iot,33
title of song,music,43
play music from workout playlist,play,48
please play music from my playlist,play,48
start playing kids by mgmt,play,48
play song all the small things,play,48
please play thriller,play,48
show time in china,datetime,13
is the song by shakira,music,43
who sings this,music,43
band name,music,43
start the robot vacuum cleaner now,iot,29
initiate the robot vacuum cleaner,iot,29
start play,play,48
start play recently added playlist,play,48
resume last playlist,play,48
what would be the current time in ivory coast,datetime,13
play musical theater soundtracks,play,48
please play my pop playlist,play,48
play edm music,play,48
what genre is this,music,43
how long is this,general,27
please play only music of pop mix,play,48
please play songs of arijit singh,play,48
please play only sad song in music player,play,48
please you don't speak in eight to ten pm,audio,4
please mute yourself,audio,4
please unmute yourself,audio,4
what is the time in geneva,datetime,13
what's the time now in new delhi,datetime,13
what is the time now in san diego,datetime,13
is it twentieth march today,datetime,13
i want the lights turned off,iot,33
cut the lights off,iot,33
hey play the songs from my playlist named good tunes,play,48
hey play playlist tactics from music,play,48
hey play the latest songs from playlist,play,48
start cleaning floors,iot,29
please play songs in music player only arijit singh's,play,48
please play only sonu nigam's song,play,48
please find me music,play,48
i would like classic country,play,48
rock,play,48
i want to clean my bedroom put the vacuum on and go to my room,iot,29
put on the vacuum on now and clean the living room,iot,29
what alarms do you have set,alarm,0
are there any alarms set,alarm,0
provide me the alarm times you have set,alarm,0
can you tell me the time right now,datetime,13
please alert me to the time,datetime,13
give me dark,iot,33
play techno music,play,48
can you tell me the time at san francisco,datetime,13
what time is it in denver,datetime,13
open my playlist,play,48
show me my playlist,music,43
play from my play list,play,48
show time in mumbai,datetime,13
whats the time in dubai,datetime,13
current time in ny,datetime,13
please turn off left side lights,iot,33
please turn off middle light of room,iot,33
please turn off right side of light,iot,33
who is this,music,43
update to current time,datetime,13
which day of week is the twenty fourth,datetime,13
when does twenty fourth come in the next week,datetime,13
is twenty fourth on tuesday,datetime,13
turn off this light,iot,33
turn off the nearest light to me,iot,33
close the light,iot,33
please play next song,play,48
play the next song in the sequence,play,48
play the song next to the one playing now,play,48
Play something random from google play,play,48
what's new on itunes,music,43
bring up my last playlist from tidal,play,48
which day is march twenty,datetime,13
which date is on next monday,datetime,13
s,play,48
wd,play,48
d,play,48
what is the song playing,music,43
whats the name of the current song,music,43
who is the song playing by,music,43
turn off the nearest light,iot,33
play music by skrillex,play,48
play songs by coldplay,play,48
turn on music by seal,play,48
turn off lights of kitchen,iot,33
switch off all lights,iot,33
remove all alarm of sunday,alarm,1
remove number three alarm of list,alarm,1
remove alarm of six am on tuesday,alarm,1
music,play,48
get the roomba to clean the kitchen,iot,29
have the roomba run the living room,iot,29
please give me detail of o zaalima song,music,43
please show me detail of current playing song,music,43
please show me detail of previous played song,music,43
play the music,play,48
please on the music,play,48
will you put on the music,play,48
order a large plain pizza from mimo's for me,takeaway,61
place an order for a combo platter from china buffet,takeaway,61
can you order me some buffalo chicken pizza,takeaway,61
anything i need to know,general,27
please turn on wemo socket,iot,37
turn on switch of wemo socket,iot,37
what is it,datetime,13
turn on bjork,play,48
play the bjork album i've heard the least,play,48
start up a bjork album for me,play,48
please tell me what time is now in canada,datetime,13
what is the time in canada now,datetime,13
mention the time in canada now,datetime,13
put out the lights,iot,33
remove seven am alarm,alarm,1
delete my eight pm alarm,alarm,1
get rid of the five pm alarm,alarm,1
play the song poker face,play,48
show me the song broken strings from list,play,48
i want to hear that song,play,48
run indian folk song,play,48
play romantic english songs,play,48
play titanic title song,play,48
neat,music,43
wave,music,43
smiley,music,43
please turn on the lights,iot,34
please turn on the lights,iot,34
how many sunday having this month,datetime,13
how many muhurtham in this month,datetime,13
do we have thirty first day on this month,datetime,13
activate the vacuum cleaner,iot,29
change the color of lights,iot,31
rotate the light colors,iot,31
activate a different light color,iot,31
how many days until march thirty,datetime,13
what is the date next saturday,datetime,13
how many hours remaining to reach midnight in city,datetime,13
how many hours gone from midnight on city,datetime,13
how many hours remaining for mid noon,datetime,13
order pizza for delivery,takeaway,61
order chinese for delivery,takeaway,61
order takeout from pizza restaurant,takeaway,61
can you please remove the alarm,alarm,1
ibset a ararl can you turn it off,alarm,1
will you turn the alarm off for me,alarm,1
tell me the current time in san paulo brazil,datetime,13
i like to hear kuch kuch hotha hai,play,48
play last song i downloaded,play,48
play the song doggie style in continuous mode,play,48
can you please update me the time,datetime,13
what is the current time in our home town,datetime,13
did i set my house alarm,alarm,0
what alarms are set in the house,alarm,0
tell me if my alarm is set for the morning,alarm,0
tell me starting phrase of this music,music,43
tell me the name of this music,music,43
give me name and type of this music,music,43
turn the room light off,iot,33
turn off the room light,iot,33
what day is the twenty second of may,datetime,13
what date is the fourth monday of march this year,datetime,13
mute for one hour,audio,4
set mute until said otherwise,audio,4
activate the cleaner for furniture cleaning,iot,29
on the button of cleaner,iot,29
clear the dust and then on the cleaner,iot,29
do i need to spare washing my car today,general,27
please let me know the morning alarm time for weekdays,alarm,0
please let me know the morning alarm time kept for weekends,alarm,0
please let me know the alarm kept for tuesday's meeting,alarm,0
please let me know the current time at new york,datetime,13
please let me know the current time at london,datetime,13
please let me know the current time at new delhi,datetime,13
who is the music director of this song,music,43
from which movie is the song,music,43
love to jake for financial support,general,27
thanks to ally for the photos,general,27
warm wishes to mac for new job,general,27
stay quiet,audio,4
enter silence mode,audio,4
don't make any sounds,audio,4
which is the nearest restaurants available,recommendation,57
is this song ed sheeran,music,43
what movie is this song from,music,43
who is singing this,music,43
play some old school rap,play,48
i want reggae,play,48
today feels like hard rock,play,48
turn off the bedroom lamp,iot,33
turn off my desk lamp,iot,33
please turn on my music,play,48
play my music i have programmed,play,48
start my music playlist,play,48
find restaurant order food name,takeaway,61
find hotel order food name,takeaway,61
find food and order,takeaway,61
on vacuum cleaner,iot,29
open vacuum cleaner,iot,29
run vacuum cleaner,iot,29
can you give the date today,datetime,13
today's date,datetime,13
can you change the volume at,audio,5
assistant shuffle entire library,play,48
please play the broods,play,48
assistant please play royksopp running to the sea,play,48
please turn the lights off,iot,33
assistant please turn the lights off,iot,33
turn off lights in bathroom,iot,33
turn off lights in bedroom,iot,33
play giants by banks and steelz,play,48
play got that by medasin,play,48
play firefly by mura masa,play,48
open grubhub,takeaway,61
search for pizza nearby,takeaway,61
closest chipotle,takeaway,61
show the playlist,music,43
what music is currently playing,music,43
tell me the details of the music playing,music,43
play mp playlist from start,play,48
play music from good playlist,play,48
shuffle and play blue playlist,play,48
start vacuum bot,iot,29
clean the carpets,iot,29
activate the robot and vacuum the floor,iot,29
report alarm settings,alarm,0
tell me when the next alarms are for,alarm,0
what is the song currently playing,music,43
what's on the radio right now,music,43
what's the name of the piece you are playing,music,43
just see for me the alarms that you have set today morning,alarm,0
please see see for me the alarms that you have set sunday morning,alarm,0
see see for me the alarms that you have set tomorrow morning,alarm,0
play previous song,play,48
play gaga playlist,play,48
play this song on twelve am,play,48
play for me music by madonna,play,48
play for me music by michael jackson,play,48
play for me music by the beatles,play,48
turn on the geyser,iot,37
change the light color to white,iot,31
play songs by ilayaraja artist,play,48
shuffle and play all songs by gavenda artist,play,48
play song by frubs artist,play,48
whats today's date,datetime,13
display date,datetime,13
play all songs from blue genre,play,48
shuffle and play songs from dance genre,play,48
open and play music from jazz genre,play,48
switch off kitchen lights,iot,33
switch all lights off except living area,iot,33
turn wemo plug socket on,iot,37
toggle wemo plug socket on,iot,37
give me the current date today,datetime,13
show me the current date today,datetime,13
just let me know the current date today,datetime,13
play for me the music by michael jackson,play,48
play for me the music by madonna,play,48
play for me the music by the beatles,play,48
play for me rock music,play,48
play for me hip hop music,play,48
play for me jazz music,play,48
tap start and then select settings,alarm,0
tap the system tab tap clock and then select the alarms tab tap and select the day you want the alarm to sound double tap the time displayed on the extreme left to set a time for the alarm,alarm,0
then tap ok,alarm,0
what is the time in las vegas,datetime,13
what time is it in tokyo japan,datetime,13
will you tell me what time it is in cloverdale indiana,datetime,13
please remove the the alarm which i set,alarm,1
disable the alarm which is set at nine thirty pm,alarm,1
unset all alarm which is set,alarm,1
may twenty two is my birthdate and i want to know the what day is twenty third may,datetime,13
what day of the week is november fourteenth,datetime,13
august fifteenth is what day of the week,datetime,13
play hip hop songs,play,48
listen to pop songs,play,48
play me all jazz music,play,48
lights turn off,iot,33
off lights,iot,33
play my playlist party songs,play,48
shuffle my party songs playlist,play,48
play party songs,play,48
play item one,play,48
turn on the wemo,iot,37
flip the wemo on,iot,37
turn on the smart plug,iot,37
play madonna,play,48
ricky matin,play,48
what day of the week is sixteenth,datetime,13
what day of the week is twenty fifth,datetime,13
what day of the week is thirtieth,datetime,13
can you give me the time in new delhi,datetime,13
give me the time in sydney australia,datetime,13
start house cleaning,iot,29
begin vacuuming,iot,29
start my play list,play,48
turn on the tunes,play,48
play my favorite songs,play,48
time now,datetime,13
please play my top music playlist,play,48
can you play my favorites playlist,play,48
let me listen to my top rock songs playlist,play,48
start my movies soundtrack list,play,48
listen to my favorites,play,48
date,datetime,13
todays date,datetime,13
turn room light off,iot,33
color change of lights,iot,31
change lighting colours,iot,31
can you play some country music,play,48
start reggae music,play,48
play the song which is in movie rangoon,play,48
put the song in order of singer first arijit singh song then sukhwinder then sunidhi,play,48
put the song sung by shreya at the top,play,48
please mute the television for one hour,audio,4
set music system to mute,audio,4
can you set radio to mute,audio,4
please turn off the lights,iot,33
turn off the lights please,iot,33
please play me the michael jackson song again,play,48
please play me the madonna song again,play,48
please play for me elvis presley song again,play,48
what is tomorrow's alarm time set to,alarm,0
show me what alarm times i've set for the week,alarm,0
give me the alarm times for the next two days,alarm,0
please change lights colour to red,iot,31
could you change the lights colour to green please,iot,31
your personal spotify collection your music your library,play,48
a step by step guide for how to save music,play,48
orevena voice recorder let me the system page is where to save songs,play,48
what day does my birthday fall on next year,datetime,13
what day of the week does the next holiday fall on,datetime,13
show me what day the thirty first is on,datetime,13
what day of the week is fourteenth,datetime,13
what day of the week is twenty first,datetime,13
what day of the week is twelfth,datetime,13
what is the day on twenty third march,datetime,13
on fifth april which day of the week,datetime,13
is on eighth november there is monday or some other day,datetime,13
turn on the lights,iot,34
turn off audio,audio,4
ten past seven,datetime,13
a quarter to two,datetime,13
play song,play,48
switch off light,iot,33
switch on light,iot,34
play song cannibal queen,play,48
play artist,play,48
play from favorites song,play,48
vacuum start,iot,29
initiate vacuum cleaner,iot,29
vacuum on,iot,29
change to blue,iot,31
change background,iot,31
current time in london,datetime,13
Current time in cpt,datetime,13
Current time in g. m. t.,datetime,13
song next,play,48
Song next please,play,48
date and time,datetime,13
current date time,datetime,13
order me the fish risotto from the golden fork,takeaway,61
tell the golden fork that i want their fish risotto delivered,takeaway,61
please call the golden fork and tell them to deliver one portion of the fish risotto,takeaway,61
clock time,datetime,13
uae time,datetime,13
alarm clock,datetime,13
switch off,iot,33
no lights,iot,33
lady gaga,play,48
what time,datetime,13
what hour now,datetime,13
you'll be able to turn that device on or off using your smartphone or tablet,iot,37
you can set schedules for your devices and control them remotely using a mobile internet connection,iot,37
you can also add additional switches to your home to control more devices,iot,37
play the song seven years old,play,48
can you play my favorite music,play,48
set the default audio setting,audio,5
play silent song,play,48
play work from home song,play,48
play rehab song,play,48
kill the lights,iot,33
play some blues by atif aslam,play,48
comfort my ears with arijit singh,play,48
i want to dance to the tune of raghu dixit,play,48
Play fourth song of the same album after this song,play,48
put in next queue badra bahar by amit trivedi,play,48
next i want to listen i really like you,play,48
order two pizzas from dominoes,takeaway,61
place an order for two pizzas from dominoes,takeaway,61
put an order in for two pizzas from dominoes,takeaway,61
play classic rock,play,48
put classic rock on,play,48
classic rock,play,48
i want to order a takeaway from papa john's,takeaway,61
can you order me some pizza,takeaway,61
i need to order some food from papa john's,takeaway,61
quiet,audio,4
activate silent,audio,4
play music in library,play,48
which day is march twenty fourth,datetime,13
is twenty first of the week is saturday,datetime,13
which week is twenty third,datetime,13
play sword art opening,play,48
play heart n soul,play,48
play one love,play,48
turn on robot vacuum cleaner,iot,29
activate robot vacuum,iot,29
start robot vacuum,iot,29
vacuum cleaner start,iot,29
whats today,datetime,13
date in new york,datetime,13
is there any alarm active,alarm,0
tell me about the alarm timings,alarm,0
reset the alarm,alarm,1
start irobot,iot,29
make vacuum cleaner start,iot,29
meaning of a particular word,general,27
to get more information about a historic event,general,27
to listen music,play,48
list all set alarms,alarm,0
are there any alarms set what are they,alarm,0
play sufi songs,play,48
play billie jean next,play,48
repeat earth song,play,48
how many days is it until may twenty fifth,datetime,13
what day of the week does july fourth fall on this year,datetime,13
is april fifteenth on a weekend,datetime,13
please switch off the light,iot,33
could you turn off light,iot,33
check if alarm is set for six am,alarm,0
confirm i have set an alarm for six am,alarm,0
check if i have set any alarm for morning,alarm,0
play micheal jackson,play,48
play soft instrumental songs,play,48
play meditation music,play,48
play my preferred song,play,48
play human nature of michael jackson,play,48
play funk music,play,48
tell me the name of the composer,music,43
show me the picture of the singer,music,43
give me the release date of this song,music,43
give me moscow time,datetime,13
what is paris time,datetime,13
i want to hear my favorite jazz music genre,play,48
play some carnatic songs,play,48
let me hear about some new devotional music,play,48
remind my friend to get the assignment tomorrow,calendar,9
let me hear my number one favorite play list,play,48
play some good song from my play list,play,48
from my play list filter devotional songs and play right now for me,play,48
can you please be muted for a while,audio,4
can you please stop speaking,audio,4
i want you to mute,audio,4
any good fast food items,takeaway,61
any low priced delicacies,takeaway,61
any fast food meal offers,takeaway,61
could you play this song love for me please,play,48
please play the song smile for me,play,48
hips dont lie thats the song i would like you to play for me,play,48
can you please order some food for me,takeaway,61
i want to eat something will you order food for me,takeaway,61
i want to order food,takeaway,61
play bohemian raphsody for me,play,48
i want you to play bohemian raphsody for me,play,48
i would like to hear bohemian raphsody,play,48
could you please remove the set of alarms between eight and nine,alarm,1
do i have alarms set before six in the morning,alarm,0
did I set an alarm to have tablets in the noon,alarm,0
what year is it,datetime,13
could you tell me what today's date is,datetime,13
put on the next song in five minutes,play,48
let me see my playlist to reorganize,play,48
show me the time in new york city,datetime,13
what is the time in australia right now,datetime,13
let me know about the alarms you set,alarm,0
at what time have you set alarm for me,alarm,0
tell me time of alarm you set,alarm,0
place an order for a pepperoni pizza at papa johns,takeaway,61
have pho send three egg rolls,takeaway,61
get us spaghetti from pizza hut,takeaway,61
what's my favorite music at the moment,music,43
what have i played the most,music,43
what kind of music am i into,music,43
what time is it in central time zone,datetime,13
what does the clock say,datetime,13
do you have the time,datetime,13
who is this on the radio,music,43
what artist is this,music,43
chicago time,datetime,13
time in chicago,datetime,13
would like to know the alarm you sent,alarm,0
may i know the about alarm you set,alarm,0
please tell about the alarms,alarm,0
open my classical playlist,play,48
turn on favorite songs,play,48
hit random on my most liked songs,play,48
play best hits,play,48
turn down the noise,audio,4
volume control,audio,4
hey turn off the light please,iot,33
i want the light to be switched off,iot,33
play next song of my selected,play,48
next play selected song,play,48
add selected song,play,48
can you make sure the kitchen light is off,iot,33
did i leave the light on in the garage,iot,33
bedroom light off,iot,33
play the first playlist,play,48
play rap songs,play,48
play rap music,play,48
turn on the light socket,iot,37
turn on the fan socket,iot,37
don't speak for an hour,audio,4
don't respond for fifty seconds,audio,4
don't talk,audio,4
i would like to hear some blues,play,48
play me some christian songs,play,48
i am in the mood for some classical music,play,48
please turn on all lights,iot,34
turn off porch light,iot,33
turn off bedroom light at nine thirty pm,iot,33
play on loop the devil went down to georgia for me,play,48
could you play you don't bring me flowers,play,48
i would like to hear the theme song to this is us,play,48
play playlist workout,play,48
play song by daddy yankee,play,48
que song let it burn,play,48
hey play me a popular hip hop song,play,48
hey play me a popular r. n. b. song,play,48
hey play me a popular country song,play,48
what home alarms have been set,alarm,0
are there any alarms currently set,alarm,0
play maroon five moves like jagger,play,48
play michael buble save the last dance,play,48
play marvin gaye i want you,play,48
hey order two wings with french fries from the chinese food store,takeaway,61
hey order a side of hot wings with my previous order,takeaway,61
hey order a pizza pie with extra cheese,takeaway,61
hey what time is it in ocho rios jamaica,datetime,13
hey what time is it in dallas texas,datetime,13
hey what time is it in orlando florida,datetime,13
that background song is terrible,music,41
what is that song playing in the background,music,43
play jumper by third eye blind,play,48
play anything in my recent playlist,play,48
turn on any song by tupac,play,48
find out what song this is and tell me the name,music,43
give me information on the song that's playing,music,43
what is the month day and year,datetime,13
tell me the time in another city in us,datetime,13
i want the time for another city outside us,datetime,13
what's the time for neighboring city,datetime,13
play hip hop music,play,48
i want to hear music by a band from my playlist,play,48
find jazz music on my playlist,play,48
what is the date for the following monday,datetime,13
what is the date two saturdays from now,datetime,13
please tell me the date for the first day of next month,datetime,13
turn on the vacuum,iot,29
clean the floor,iot,29
outlet on,iot,37
remove alarm,alarm,1
delete alarm,alarm,1
forget alarm,alarm,1
please mute for five minutes,audio,4
no notifications for five minutes,audio,4
set to silent for five minutes,audio,4
i can't see anything,iot,34
play me some rock,play,48
i want to hear pop,play,48
how do you feel,general,27
hey i missed you,general,27
tube was super busy today,general,27
i really enjoyed sunny day today,general,27
we had great dinner today,general,27
whats happening in my day,general,27
whats going on today,general,27
tell me about my day,general,27
dolores do you notice something odd about your world,general,27
dolores how was your day,general,27
did you have a good day,general,27
listen what have happened to me today,general,27
i was late today for the meeting you would not believe what happened,general,27
do you want to hear what have happened today,general,27
what's on your mind,general,27
tell me a random trivia,general,27
who are you,general,23
how you know me,general,27
how its possible,general,27
it was a great day,general,27
my day was full of work,general,27
i had slow day with bad weather as well,general,27
i am exhausted from work,general,27
i went to the park,general,27
today i am feeling very stressed,general,27
today's day is really tiring,general,27
i had a bad day today,general,27
is is awful day it looks it will rain the whole day,general,27
did you watch the news about the car accident that happened last night,general,27
it would be great to dinner in this new opened restaurant downtown,general,27
hi how are you doing today,general,27
good day,general,23
hey i want to know about your inception,general,27
hey tell me more about my meetings today,general,27
when is my friend's birthday coming up,general,27
today was too busy,general,27
today wore me out,general,27
i went to the grocery store today,general,27
this question does not make sense,general,27
please see what you wrote for this question,general,27
i do not know how to answer this question you left a word or two out,general,27
my day was hectic,general,27
my day was stressful,general,27
my day was fun,general,27
today was stressful,general,27
today was fun,general,27
today was okay,general,27
i am going to work today,general,27
i am leaving early today,general,27
i had a bad day,general,27
what should i do today,general,27
what can you do,general,27
today i had a record breaking sale,general,27
i met my future wife today please set up a date next friday,general,27
i watched the best movie please reserve me a copy when it releases,general,27
how's it hangin,general,27
good morning isn't it a great day,general,27
today i got rewards,general,27
i helped a poor needy today,general,27
i'm so happy today i got tickets for the concert,general,27
i had a relaxing day today,general,27
there was heavy traffic on my way home,general,27
i had a lot of meetings today,general,27
what do you do,general,27
how old are you,general,27
where are you from,general,27
journal entry for today,general,27
guess what happened today,general,27
today i,general,27
hi this is john i would like to know the special dish for today,general,27
i would like to order a meal do have any special offers for sea food,general,27
hi i want to order fried chick with white sauce,takeaway,61
hello is this your first time here,general,27
hello you look great,general,27
hi how was your day today,general,27
the weather is sunny today,general,27
isn't food great,general,27
hey lets just talk,general,27
lets talk i am bored right now,general,27
hey google i hit a million dollar lottery jackpot,general,27
hey olly my friends gave me a surprise birthday party,general,27
hi there congratulate me i got a promoted in my job at office,general,27
i am in bad mood tell me a joke,general,27
can you search for me,general,27
what is your name,general,27
if you had to kill someone to save three people would you do it and if so why,general,27
what is the best way to live,general,27
ask me easy questions about a subject i know and tell me when i'm wrong,general,27
how is the day today,general,27
remind me of my meeting,calendar,9
i had a great day today,general,27
i went skiing today,general,27
my day was pretty hectic today,general,27
how many kilometers did i walk today,general,27
show me the places where i was,general,27
what have you been up to today,general,27
have you been enjoying your day so far,general,27
lets have a chat,general,27
i would like to talk about it,general,27
lets converse on the subject,general,27
i ate breakfast this morning,general,27
i ate a blueberry muffin with milk for breakfast,general,27
i had food as soon as i got up,general,27
what would you recommend for me to read,general,27
who won the sports game last night,general,27
hey it was pretty much hectic day today,general,27
